"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","eval_acc","sample","regularization"
"BinOCT","house-votes-84",116,"5",0,3600,101,0,1,0,7064,16.2489793300629,0,0,0,0,0.931034482758621,0.931034482758621,"1",FALSE
"BinOCT","house-votes-84",116,"5",0,3600,101,0,1,0,13374,22.111376285553,0,0,0,0,0.948275862068966,0.913793103448276,"2",FALSE
"BinOCT","house-votes-84",116,"5",0,3600,101,0,1,0,1272980,1254.82381129265,0,0,0,0,0.879310344827586,0.913793103448276,"3",FALSE
"BinOCT","house-votes-84",116,"5",0,3600,101,0,1,0,14737,22.2890479564667,0,0,0,0,0.913793103448276,0.948275862068966,"4",FALSE
"BinOCT","house-votes-84",116,"5",0,3600,101,0,1,0,674193,952.584570407867,0,0,0,0,0.931034482758621,0.982758620689655,"5",FALSE
"BinOCT","spect",134,"2",0,3600,101,23.999999997,0.82089552238806,0,13457,11.5592699050903,0,0,0,0,0.716417910447761,0.818181818181818,"1",FALSE
"BinOCT","spect",134,"2",0,3600,101,26,0.805970149253731,0,15203,12.2339286804199,0,0,0,0,0.73134328358209,0.833333333333333,"2",FALSE
"BinOCT","spect",134,"2",0,3600,101,26,0.805970149253731,0,5308,4.88337969779968,0,0,0,0,0.701492537313433,0.803030303030303,"3",FALSE
"BinOCT","spect",134,"2",0,3600,101,25,0.813432835820896,0,5853,7.4628689289093,0,0,0,0,0.671641791044776,0.803030303030303,"4",FALSE
"BinOCT","spect",134,"2",0,3600,101,26.999999996,0.798507462686567,0,4378,4.09723138809204,0,0,0,0,0.746268656716418,0.651515151515151,"5",FALSE
"BinOCT","spect",134,"3",0,3600,107,17.9999999954546,0.865671641791045,0.862385321061375,3528170,3600,0,0,0,0,0.716417910447761,0.772727272727273,"1",FALSE
"BinOCT","spect",134,"3",0,3600,107,23,0.828358208955224,0.823443008222037,3894135,3600,0,0,0,0,0.746268656716418,0.863636363636364,"2",FALSE
"BinOCT","spect",134,"3",0,3600,101,16,0.880597014925373,0,1901041,1734.90510892868,0,0,0,0,0.73134328358209,0.787878787878788,"3",FALSE
"BinOCT","spect",134,"3",0,3600,107,20.999999997,0.843283582089552,0.887073225496265,2547583,3600,0,0,0,0,0.805970149253731,0.772727272727273,"4",FALSE
"BinOCT","spect",134,"3",0,3600,102,17,0.873134328358209,8.87232721137534e-05,2751930,2388.70540094376,0,0,0,0,0.761194029850746,0.712121212121212,"5",FALSE
"BinOCT","spect",134,"4",0,3600,107,13.9999999950909,0.895522388059702,0.99350649349712,1210310,3600,0,0,0,0,0.716417910447761,0.848484848484849,"1",FALSE
